subject,trial,absolute_f1,expected_minus_actual,amplitude,percentage,target,comments
sp002,7,833,246,0,0.295,0,expected - actual to absolute f1 ratio too small
sp002,49,897,505,0,0.563,0,expected - actual to absolute f1 ratio too small
sp002,97,1181,698,0,0.591,0,expected - actual to absolute f1 ratio too small
sp003,2,846,348,0,0.411,0,expected - actual to absolute f1 ratio too small
sp003,6,950,501,0,0.527,0,expected - actual to absolute f1 ratio too small
sp003,8,955,460,0,0.482,0,expected - actual to absolute f1 ratio too small
sp003,11,1051,245,0,0.233,0,expected - actual to absolute f1 ratio too small
sp003,14,414,240,0,0.58,0,expected - actual to absolute f1 ratio too small
sp003,27,963,146,0,0.152,0,expected - actual to absolute f1 ratio too small
sp003,48,1077,311,0,0.289,0,expected - actual to absolute f1 ratio too small
sp003,61,1018,558,0,0.548,0,expected - actual to absolute f1 ratio too small
sp003,67,1165,165,0,0.142,0,expected - actual to absolute f1 ratio too small
sp003,69,970,452,0,0.466,0,expected - actual to absolute f1 ratio too small
sp003,73,1070,479,0,0.448,0,expected - actual to absolute f1 ratio too small
sp003,93,941,386,0,0.41,0,expected - actual to absolute f1 ratio too small
sp003,102,687,247,0,0.36,0,expected - actual to absolute f1 ratio too small
sp003,113,969,556,0,0.574,0,expected - actual to absolute f1 ratio too small
sp003,11,0,0,82,0,200,length of final window too small
sp003,27,0,0,146,0,200,length of final window too small
sp003,67,0,0,165,0,200,length of final window too small
sp005,9,846,505,0,0.597,0,expected - actual to absolute f1 ratio too small
sp005,21,677,377,0,0.557,0,expected - actual to absolute f1 ratio too small
sp005,25,481,206,0,0.428,0,expected - actual to absolute f1 ratio too small
sp005,34,580,294,0,0.507,0,expected - actual to absolute f1 ratio too small
sp005,49,537,309,0,0.575,0,expected - actual to absolute f1 ratio too small
sp005,65,191,29,0,0.152,0,expected - actual to absolute f1 ratio too small
sp005,66,588,62,0,0.105,0,expected - actual to absolute f1 ratio too small
sp005,77,527,145,0,0.275,0,expected - actual to absolute f1 ratio too small
sp005,78,630,143,0,0.227,0,expected - actual to absolute f1 ratio too small
sp005,79,282,112,0,0.397,0,expected - actual to absolute f1 ratio too small
sp005,80,721,163,0,0.226,0,expected - actual to absolute f1 ratio too small
sp005,84,1047,503,0,0.48,0,expected - actual to absolute f1 ratio too small
sp005,85,681,286,0,0.42,0,expected - actual to absolute f1 ratio too small
sp005,108,648,359,0,0.554,0,expected - actual to absolute f1 ratio too small
sp005,109,590,229,0,0.388,0,expected - actual to absolute f1 ratio too small
sp005,115,364,0,0,0,0,expected - actual to absolute f1 ratio too small
sp005,120,649,221,0,0.341,0,expected - actual to absolute f1 ratio too small
sp005,25,0,0,136,0,200,length of final window too small
sp005,60,0,0,0,0,200,length of final window too small
sp005,65,0,0,2,0,200,length of final window too small
sp005,66,0,0,62,0,200,length of final window too small
sp005,76,0,0,173,0,200,length of final window too small
sp005,77,0,0,121,0,200,length of final window too small
sp005,78,0,0,123,0,200,length of final window too small
sp005,79,0,0,104,0,200,length of final window too small
sp005,80,0,0,86,0,200,length of final window too small
sp005,112,0,0,170,0,200,length of final window too small
sp005,115,0,0,0,0,200,length of final window too small
sp006,2,631,335,0,0.531,0,expected - actual to absolute f1 ratio too small
sp006,16,1032,582,0,0.564,0,expected - actual to absolute f1 ratio too small
sp006,25,1022,592,0,0.579,0,expected - actual to absolute f1 ratio too small
sp006,26,1331,769,0,0.578,0,expected - actual to absolute f1 ratio too small
sp006,28,876,525,0,0.599,0,expected - actual to absolute f1 ratio too small
sp007,3,1400,783,0,0.559,0,expected - actual to absolute f1 ratio too small
sp007,16,718,168,0,0.234,0,expected - actual to absolute f1 ratio too small
sp007,18,1458,742,0,0.509,0,expected - actual to absolute f1 ratio too small
sp007,32,663,378,0,0.57,0,expected - actual to absolute f1 ratio too small
sp007,39,1063,30,0,0.028,0,expected - actual to absolute f1 ratio too small
sp007,46,598,331,0,0.554,0,expected - actual to absolute f1 ratio too small
sp007,52,1199,457,0,0.381,0,expected - actual to absolute f1 ratio too small
sp007,78,755,37,0,0.049,0,expected - actual to absolute f1 ratio too small
sp007,82,669,351,0,0.525,0,expected - actual to absolute f1 ratio too small
sp007,84,574,305,0,0.531,0,expected - actual to absolute f1 ratio too small
sp007,87,1226,693,0,0.565,0,expected - actual to absolute f1 ratio too small
sp007,89,534,298,0,0.558,0,expected - actual to absolute f1 ratio too small
sp007,96,901,459,0,0.509,0,expected - actual to absolute f1 ratio too small
sp007,97,265,12,0,0.045,0,expected - actual to absolute f1 ratio too small
sp007,101,2070,902,0,0.436,0,expected - actual to absolute f1 ratio too small
sp007,103,996,473,0,0.475,0,expected - actual to absolute f1 ratio too small
sp007,119,859,478,0,0.556,0,expected - actual to absolute f1 ratio too small
sp007,16,0,0,168,0,200,length of final window too small
sp007,39,0,0,0,0,200,length of final window too small
sp007,78,0,0,0,0,200,length of final window too small
sp007,82,0,0,0,0,200,length of final window too small
sp007,97,0,0,0,0,200,length of final window too small
sp007,101,0,0,0,0,200,length of final window too small
sp007,115,0,0,44,0,200,length of final window too small
