subject,trial,excluded,windowStart,windowEnd
sp001,1,1,0,0
sp001,2,0,568,1059
sp001,3,0,735,1342
sp001,4,0,737,1263
sp001,5,0,776,1049
sp001,6,0,780,1209
sp001,7,0,519,838
sp001,8,0,663,906
sp001,9,0,762,1174
sp001,10,0,543,1145
sp001,11,0,498,1134
sp001,12,0,606,1160
sp001,13,0,469,889
sp001,14,0,740,1162
sp001,15,0,555,1024
sp001,16,0,671,1233
sp001,17,0,580,1195
sp001,18,0,684,1137
sp001,19,0,639,976
sp001,20,0,656,1122
sp001,21,0,717,998
sp001,22,0,781,1144
sp001,23,0,586,1057
sp001,24,1,0,0
sp001,25,0,547,1029
sp001,26,0,487,1152
sp001,27,0,618,1128
sp001,28,0,814,1317
sp001,29,0,842,1152
sp001,30,0,707,978
sp001,31,0,727,1081
sp001,32,0,823,985
sp001,33,0,409,992
sp001,34,0,638,1139
sp001,35,0,427,1035
sp001,36,0,504,1059
sp001,37,0,627,1130
sp001,38,0,534,1256
sp001,39,0,643,1086
sp001,40,0,526,995
sp001,41,0,464,1208
sp001,42,0,520,1105
sp001,43,0,595,1156
sp001,44,0,547,1027
sp001,45,0,404,1041
sp001,46,0,753,1179
sp001,47,0,491,1077
sp001,48,0,513,1026
sp001,49,0,685,1089
sp001,50,0,557,1140
sp001,51,0,456,1048
sp001,52,0,458,702
sp001,53,0,694,1111
sp001,54,0,403,956
sp001,55,0,577,1110
sp001,56,0,576,1081
sp001,57,0,513,1255
sp001,58,0,751,1020
sp001,59,0,781,1195
sp001,60,0,549,1138
sp001,61,0,559,986
sp001,62,0,689,1253
sp001,63,0,556,691
sp001,64,0,333,1044
sp001,65,0,451,1152
sp001,66,0,605,1171
sp001,67,0,498,1043
sp001,68,0,421,1128
sp001,69,0,539,1162
sp001,70,0,788,1235
sp001,71,0,706,1034
sp001,72,0,390,613
sp001,73,0,426,1134
sp001,74,0,623,1082
sp001,75,0,699,1371
sp001,76,0,514,1234
sp001,77,1,0,0
sp001,78,0,490,1147
sp001,79,0,469,1132
sp001,80,0,524,1178
sp001,81,0,737,1031
sp001,82,0,581,1226
sp001,83,0,380,1171
sp001,84,0,626,1313
sp001,85,0,746,1371
sp001,86,0,644,1225
sp001,87,0,483,1020
sp001,88,0,1154,1292
sp001,89,0,629,1219
sp001,90,0,411,1107
sp001,91,0,638,1332
sp001,92,0,532,1200
sp001,93,0,455,1283
sp001,94,0,810,1481
sp001,95,0,693,895
sp001,96,0,320,1174
sp001,97,0,524,1246
sp001,98,0,554,1117
sp001,99,0,504,1206
sp001,100,0,446,1095
sp001,101,0,503,1188
sp001,102,0,567,1136
sp001,103,0,751,1259
sp001,104,0,509,1120
sp001,105,0,510,1115
sp001,106,0,336,1081
sp001,107,0,544,1232
sp001,108,0,610,1323
sp001,109,0,591,1098
sp001,110,0,598,1201
